DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-04-20,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MT,BARRA DO GARÇAS,WARNER BROS. (SOUTH) INC.,32
2023-05-09,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,ES,SERRA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,142
2023-04-24,IL COLIBRI,O COLIBRI, Suécia,BA,SALVADOR,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,4
2023-02-22,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,RJ,NITERÓI,THE WALT DISNEY COMPANY (BRASIL) LTDA.,253
2023-04-14,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",PR,ARAPONGAS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,4
2023-02-03,PROJECT GEMINI,GEMINI: O PLANETA SOMBRIO, Rússia,SC,CRICIÚMA,SM DISTRIBUIDORA DE FILMES LTDA,8
2023-06-08,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,CESÁRIO LANGE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,7
2023-04-25,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,CARAPICUÍBA,WARNER BROS. (SOUTH) INC.,81
2023-03-04,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SP,RIO CLARO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,29
2023-04-17,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,233
2023-06-28,THE FLASH,THE FLASH, Estados Unidos,MA,PEDREIRAS,WARNER BROS. (SOUTH) INC.,12
2023-01-21,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,ES,SERRA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,61
2023-02-22,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SC,FLORIANÓPOLIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,10
2023-05-22,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,RJ,RIO DE JANEIRO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,31
2023-04-08,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MG,CONTAGEM,WARNER BROS. (SOUTH) INC.,33
2023-04-10,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,PR,MARINGÁ,WARNER BROS. (SOUTH) INC.,125
2023-06-25,THE FLASH,THE FLASH, Estados Unidos,SP,SÃO BERNARDO DO CAMPO,WARNER BROS. (SOUTH) INC.,49
2023-05-14,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SC,SOMBRIO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,94
2023-05-13,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,354
2023-05-27,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SC,BLUMENAU,THE WALT DISNEY COMPANY (BRASIL) LTDA.,45
2023-04-01,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",RS,SANTA CRUZ DO SUL,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,18
2023-05-06,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,MG,UBÁ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,19
2023-03-17,SCREAM VI,PÂNICO VI, Estados Unidos,MG,BELO HORIZONTE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,68
2023-06-28,ELEMENTAL,ELEMENTOS, Estados Unidos,SP,RIBEIRÃO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,81
2023-06-24,THE FLASH,THE FLASH, Estados Unidos,AL,MACEIÓ,WARNER BROS. (SOUTH) INC.,13
2023-02-18,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PR,GUARAPUAVA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,17
2023-06-29,THE FLASH,THE FLASH, Estados Unidos,MG,UBÁ,WARNER BROS. (SOUTH) INC.,8
2023-02-04,KNOCK AT THE CABIN,BATEM À PORTA, Estados Unidos,RR,BOA VISTA,WARNER BROS. (SOUTH) INC.,29
2023-01-30,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,MAUÁ,WARNER BROS. (SOUTH) INC.,22
2023-01-23,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SANTA BÁRBARA D'OESTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,12
2023-03-28,SCREAM VI,PÂNICO VI, Estados Unidos,SP,BARRETOS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,7
2023-02-04,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,VALINHOS,WARNER BROS. (SOUTH) INC.,48
2023-02-05,PROJECT GEMINI,GEMINI: O PLANETA SOMBRIO, Rússia,RS,CANOAS,SM DISTRIBUIDORA DE FILMES LTDA,17
2023-03-11,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,BA,ITABUNA,WARNER BROS. (SOUTH) INC.,67
2023-01-14,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,PA,PARAUAPEBAS,WARNER BROS. (SOUTH) INC.,192
2023-04-11,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,BAURU,WARNER BROS. (SOUTH) INC.,97
2023-03-21,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SP,BAURU,THE WALT DISNEY COMPANY (BRASIL) LTDA.,16
2023-01-15,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SÃO JOSÉ DO RIO PRETO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,11
2023-04-17,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",SP,RIBEIRÃO PRETO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,3
2023-03-14,MISSING,DESAPARECIDA, Estados Unidos,RJ,VOLTA REDONDA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,8
2023-04-27,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,CE,FORTALEZA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,179
2023-04-20,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,RJ,RESENDE,WARNER BROS. (SOUTH) INC.,39
2023-04-17,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,PE,OLINDA,WARNER BROS. (SOUTH) INC.,137
2023-06-08,THE BOOGEYMAN,BOOGEYMAN: SEU MEDO É REAL, Estados Unidos,RJ,SÃO JOÃO DE MERITI,THE WALT DISNEY COMPANY (BRASIL) LTDA.,11
2023-05-08,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,8
2023-01-04,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,CUBATÃO,WARNER BROS. (SOUTH) INC.,50
2023-06-22,ELEMENTAL,ELEMENTOS, Estados Unidos,MT,CUIABÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,25
2023-02-28,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,ES,VITÓRIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,16
2023-01-07,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,RS,NOVO HAMBURGO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,206
2023-04-05,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,DEMON SLAYER: TO THE SWORDSMITH VILLAGE, Japão,RJ,RIO DE JANEIRO,CINECOLOR DO BRASIL LTDA,10
2023-01-15,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,CE,FORTALEZA,WARNER BROS. (SOUTH) INC.,109
2023-02-01,BABYLON,BABILÔNIA, Estados Unidos,CE,SOBRAL,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,2
2023-02-08,BABYLON,BABILÔNIA, Estados Unidos,MG,BELO HORIZONTE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,8
2023-04-10,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,JUNDIAÍ,WARNER BROS. (SOUTH) INC.,142
2023-03-26,SCREAM VI,PÂNICO VI, Estados Unidos,MS,CAMPO GRANDE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,60
2023-06-16,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,GO,APARECIDA DE GOIÂNIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,21
2023-03-12,65,65 AMEAÇA PRÉ-HISTÓRICA, Estados Unidos,PR,CURITIBA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,34
2023-04-04,SCREAM VI,PÂNICO VI, Estados Unidos,SP,RIO CLARO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,4
2023-02-22,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,SP,CAMPINAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,23
2023-02-24,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,SP,SÃO VICENTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,54
2023-05-07,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,RS,CACHOEIRA DO SUL,WARNER BROS. (SOUTH) INC.,22
2023-02-06,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,MG,BELO HORIZONTE,WARNER BROS. (SOUTH) INC.,18
2023-04-11,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,31
2023-05-27,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,BA,SALVADOR,THE WALT DISNEY COMPANY (BRASIL) LTDA.,8
2023-05-18,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,RO,JI-PARANÁ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,11
2023-03-07,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,AL,MACEIÓ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,60
2023-05-09,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,SP,SUMARÉ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,5
2023-02-14,TITANIC,TITANIC 3D, Estados Unidos,PA,BELÉM,THE WALT DISNEY COMPANY (BRASIL) LTDA.,165
2023-05-17,LOVE AGAIN,O AMOR MANDOU MENSAGEM, Estados Unidos,SC,BALNEÁRIO CAMBORIÚ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,3
2023-01-13,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SANTOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,32
2023-04-26,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",SP,LEME,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,7
2023-05-06,KNIGHTS OF THE ZODIAC,OS CAVALEIROS DO ZODÍACO - SAINT SEIYA - O COMEÇO, Japão,RS,PORTO ALEGRE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,19
2023-03-08,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,TAUBATÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,16
2023-02-09,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,CAMPINAS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,57
2023-04-14,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",GO,APARECIDA DE GOIÂNIA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,56
2023-01-12,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,RESENDE,WARNER BROS. (SOUTH) INC.,33
2023-04-19,AIR,AIR: A HISTÓRIA POR TRÁS DO LOGO, Estados Unidos,SP,SÃO PAULO,WARNER BROS. (SOUTH) INC.,26
2023-02-15,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,GO,APARECIDA DE GOIÂNIA,WARNER BROS. (SOUTH) INC.,9
2023-02-06,THE FABELMANS,OS FABELMANS, Estados Unidos,SP,VOTORANTIM,WARNER BROS. (SOUTH) INC.,6
2023-02-06,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,DF,BRASÍLIA,WARNER BROS. (SOUTH) INC.,8
2023-01-11,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,219
2023-03-07,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PA,ANANINDEUA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,10
2023-06-28,ELEMENTAL,ELEMENTOS, Estados Unidos,PR,COLOMBO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,11
2023-02-01,REGRA 34,, Brasil,SP,SÃO PAULO,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,9
2023-05-04,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,CE,CAUCAIA,WARNER BROS. (SOUTH) INC.,5
2023-06-21,THE FLASH,THE FLASH, Estados Unidos,DF,BRASÍLIA,WARNER BROS. (SOUTH) INC.,302
2023-04-20,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MA,SÃO LUÍS,WARNER BROS. (SOUTH) INC.,51
2023-05-05,LEFT BEHIND: RISE OF THE ANTICHRIST,DEIXADOS PARA TRÁS: O INÍCIO DO FIM, Canadá,PR,MARINGÁ,WMIX DISTRIBUIDORA LTDA.,5
2023-04-13,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",MG,BELO HORIZONTE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,7
2023-06-28,THE FLASH,THE FLASH, Estados Unidos,SP,LORENA,WARNER BROS. (SOUTH) INC.,13
2023-04-15,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",AM,MANAUS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,204
2023-06-21,THE FLASH,THE FLASH, Estados Unidos,CE,FORTALEZA,WARNER BROS. (SOUTH) INC.,73
2023-04-29,THE THREE MUSKETEERS: D’ARTAGNAN,OS TRÊS MOSQUETEIROS: D’ARTAGNAN, França,SP,CAMPINAS,SM DISTRIBUIDORA DE FILMES LTDA,13
2023-05-16,LOVE AGAIN,O AMOR MANDOU MENSAGEM, Estados Unidos,MS,CAMPO GRANDE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,20
2023-04-12,SCREAM VI,PÂNICO VI, Estados Unidos,DF,BRASÍLIA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,10
2023-01-13,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,MA,TIMON,THE WALT DISNEY COMPANY (BRASIL) LTDA.,8
2023-03-13,SCREAM VI,PÂNICO VI, Estados Unidos,SC,BLUMENAU,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,16
2023-02-18,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SP,MOGI GUAÇU,WARNER BROS. (SOUTH) INC.,52
2023-01-15,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,799
2023-03-24,SCREAM VI,PÂNICO VI, Estados Unidos,ES,CARIACICA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,41
2023-05-22,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,RJ,ANGRA DOS REIS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,167
2023-06-02,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,11
2023-02-20,PEARL,PEARL, Estados Unidos,DF,BRASÍLIA,CINECOLOR DO BRASIL LTDA,38
2023-04-08,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,DEMON SLAYER: TO THE SWORDSMITH VILLAGE, Japão,SP,BARUERI,CINECOLOR DO BRASIL LTDA,58
2023-05-16,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RJ,RIO DE JANEIRO,WARNER BROS. (SOUTH) INC.,22
2023-06-17,THE FLASH,THE FLASH, Estados Unidos,RS,SÃO LEOPOLDO,WARNER BROS. (SOUTH) INC.,22
2023-04-24,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,PR,CURITIBA,WARNER BROS. (SOUTH) INC.,138
2023-02-08,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,RJ,RIO DE JANEIRO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,16
2023-05-06,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,BA,SALVADOR,WARNER BROS. (SOUTH) INC.,73
2023-03-02,TWO WITCHES,DUAS BRUXAS - A HERANÇA DIABÓLICA, Estados Unidos,PR,CURITIBA,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,10
2023-01-31,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,MG,JUIZ DE FORA,WARNER BROS. (SOUTH) INC.,71
2023-04-01,COCAINE BEAR,O URSO DO PÓ BRANCO, Estados Unidos,SC,ITAJAÍ,WARNER BROS. (SOUTH) INC.,12
2023-05-03,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,MA,SÃO LUÍS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,66
2023-02-01,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,SP,SÃO PAULO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,33
2023-04-14,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MG,MONTES CLAROS,WARNER BROS. (SOUTH) INC.,14
2023-04-23,NINGUÉM É DE NINGUÉM,, Brasil,SP,JUNDIAÍ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,69
2023-04-17,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,AP,MACAPÁ,WARNER BROS. (SOUTH) INC.,78
2023-06-18,THE FLASH,THE FLASH, Estados Unidos,MG,OLIVEIRA,WARNER BROS. (SOUTH) INC.,26
2023-06-08,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,SP,SÃO JOSÉ DOS CAMPOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,181
2023-04-06,MARLOWE,SOMBRAS DE UM CRIME," Estados Unidos, Irlanda",SP,ARAÇATUBA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,9
2023-02-22,TITANIC,TITANIC 3D, Estados Unidos,SP,SÃO PAULO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,96
2023-06-21,THE FLASH,THE FLASH, Estados Unidos,PR,PATO BRANCO,WARNER BROS. (SOUTH) INC.,12
2023-03-10,SCREAM VI,PÂNICO VI, Estados Unidos,PR,CURITIBA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,62
2023-01-31,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,SC,BRUSQUE,WARNER BROS. (SOUTH) INC.,9
2023-05-04,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,ARARAQUARA,WARNER BROS. (SOUTH) INC.,4
2023-05-20,LOVE AGAIN,O AMOR MANDOU MENSAGEM, Estados Unidos,MG,POÇOS DE CALDAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,6
2023-05-06,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",SP,OSASCO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,5
2023-01-30,A ÚLTIMA FESTA,," Portugal, Brasil",SP,CAMPINAS,H2O DISTRIBUIDORA DE FILMES LTDA,2
2023-01-20,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,RJ,MACAÉ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,80
2023-02-18,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,SP,MARÍLIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,26
2023-06-01,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,RN,NATAL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,10
2023-06-23,ELEMENTAL,ELEMENTOS, Estados Unidos,PR,FOZ DO IGUAÇU,THE WALT DISNEY COMPANY (BRASIL) LTDA.,107
2023-05-15,O HOMEM CORDIAL,, Brasil,RS,PORTO ALEGRE,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,1
2023-02-04,A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO, Estados Unidos,AC,RIO BRANCO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,39
2023-02-18,ROCK DOG 3: BATTLE THE BEAT,ROCK DOG: UMA BATIDA ANIMAL, Estados Unidos,PR,CURITIBA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,24
2023-05-09,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,SÃO JOSÉ DOS CAMPOS,WARNER BROS. (SOUTH) INC.,22
2023-05-21,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,MT,CUIABÁ,WARNER BROS. (SOUTH) INC.,140
2023-01-07,TERRIFIER 2,TERRIFIER 2, Estados Unidos,SP,SÃO PAULO,WMIX DISTRIBUIDORA LTDA.,35
2023-05-06,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,RJ,ITAGUAÍ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,193
2023-04-16,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",SP,SANTA FÉ DO SUL,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,41
2023-05-15,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,PA,BELÉM,WARNER BROS. (SOUTH) INC.,37
2023-05-24,LOVE AGAIN,O AMOR MANDOU MENSAGEM, Estados Unidos,RN,MOSSORÓ,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,2
2023-03-03,MISSING,DESAPARECIDA, Estados Unidos,MG,JUIZ DE FORA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,20
2023-05-18,GUARDIANS OF THE GALAXY VOL. 3,GUARDIÕES DA GALÁXIA VOL. 3, Estados Unidos,MG,BELO HORIZONTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,109
2023-04-21,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,LENÇÓIS PAULISTA,WARNER BROS. (SOUTH) INC.,27
2023-01-16,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,AL,MACEIÓ,THE WALT DISNEY COMPANY (BRASIL) LTDA.,21
2023-05-04,THE SUPER MARIO BROS. MOVIE,SUPER MARIO BROS. - O FILME, Estados Unidos,RS,PORTO ALEGRE,WARNER BROS. (SOUTH) INC.,49
2023-06-17,THE FLASH,THE FLASH, Estados Unidos,RS,CAPÃO DA CANOA,WARNER BROS. (SOUTH) INC.,79
2023-05-12,LEFT BEHIND: RISE OF THE ANTICHRIST,DEIXADOS PARA TRÁS: O INÍCIO DO FIM, Canadá,SP,CAMPINAS,WMIX DISTRIBUIDORA LTDA.,30
2023-05-07,JAIR RODRIGUES - DEIXA QUE DIGAM,, Brasil,RJ,RIO DE JANEIRO,ELO AUDIOVISUAL SERVIÇOS LTDA,2
