DT_EXIBICAO,TITULO_ORIGINAL,TITULO_BRASILEIRO,PAIS,UF_COMPLEXO,MUNICIPIO_COMPLEXO,RAZAO_SOCIAL_DISTRIBUIDORA,PUBLICO
2023-03-09,TRIANGLE OF SADNESS,TRIÂNGULO DA TRISTEZA," Alemanha, França, Reino Unido, Turquia",PE,RECIFE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,16
2023-02-20,ANT-MAN AND THE WASP: QUANTUMANIA,HOMEM-FORMIGA E A VESPA: QUANTUMANIA, Estados Unidos,PE,VITÓRIA DE SANTO ANTÃO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,24
2023-03-19,SCREAM VI,PÂNICO VI, Estados Unidos,MG,POUSO ALEGRE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,13
2023-01-19,"CHEF JACK, O COZINHEIRO AVENTUREIRO",, Brasil,MG,JUIZ DE FORA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,2
2023-03-10,SCREAM VI,PÂNICO VI, Estados Unidos,RS,BENTO GONÇALVES,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,12
2023-05-02,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,RO,PORTO VELHO,WARNER BROS. (SOUTH) INC.,21
2023-04-23,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,PRESIDENTE PRUDENTE,WARNER BROS. (SOUTH) INC.,64
2023-05-12,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,TO,GURUPI,WARNER BROS. (SOUTH) INC.,1
2023-01-09,TERRIFIER 2,TERRIFIER 2, Estados Unidos,RJ,CAMPOS DOS GOYTACAZES,WMIX DISTRIBUIDORA LTDA.,14
2023-01-09,TERRIFIER 2,TERRIFIER 2, Estados Unidos,MG,BELO HORIZONTE,WMIX DISTRIBUIDORA LTDA.,21
2023-03-30,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,DEMON SLAYER: TO THE SWORDSMITH VILLAGE, Japão,RS,PELOTAS,CINECOLOR DO BRASIL LTDA,22
2023-04-14,DUNGEONS & DRAGONS: HONOR AMONG THIEVES,DUNGEONS & DRAGONS: HONRA ENTRE REBELDES," Canadá, Estados Unidos",RJ,VOLTA REDONDA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,68
2023-01-04,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,RJ,NOVA FRIBURGO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,86
2023-01-06,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,RJ,NOVA FRIBURGO,WARNER BROS. (SOUTH) INC.,63
2023-01-28,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PB,JOÃO PESSOA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,13
2023-05-31,THE LITTLE MERMAID,A PEQUENA SEREIA, Estados Unidos,PR,CURITIBA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,109
2023-01-25,FERVO,, Brasil,DF,BRASÍLIA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,1
2023-05-20,EVIL DEAD RISE,A MORTE DO DEMÔNIO: A ASCENSÃO, Estados Unidos,SP,GUARULHOS,WARNER BROS. (SOUTH) INC.,300
2023-01-15,AVATAR: THE WAY OF WATER,AVATAR: O CAMINHO DA ÁGUA, Estados Unidos,PI,TERESINA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,105
2023-01-17,PUSS IN BOOTS: THE LAST WISH,GATO DE BOTAS 2: O ÚLTIMO PEDIDO, Estados Unidos,AL,MACEIÓ,WARNER BROS. (SOUTH) INC.,69
